case_type,beta,direction,step,adjoint,finite_difference,relative_error
mapping_only_centered_fd,16.0,smooth_asymmetric,0.001,40767.92602369262,40768.96394371579,2.545858228337742e-05
mapping_only_centered_fd,16.0,smooth_asymmetric,0.0005,40767.92602369262,40768.18550761527,6.364863175055957e-06
mapping_only_centered_fd,16.0,smooth_asymmetric,0.00025,40767.92602369262,40767.99089500855,1.591231613515962e-06
mapping_only_centered_fd,16.0,central_localized,0.001,3851.221845374324,3851.2758191827743,1.4014526869641338e-05
mapping_only_centered_fd,16.0,central_localized,0.0005,3851.221845374324,3851.2353395744867,3.503862779847349e-06
mapping_only_centered_fd,16.0,central_localized,0.00025,3851.221845374324,3851.225218968466,8.759794481403914e-07
mapping_only_centered_fd,16.0,design_edge_localized,0.001,1361.368305128902,1361.3776516212965,6.865466304253892e-06
mapping_only_centered_fd,16.0,design_edge_localized,0.0005,1361.368305128902,1361.3706420073868,1.716563008414719e-06
mapping_only_centered_fd,16.0,design_edge_localized,0.00025,1361.368305128902,1361.3688893674407,4.291552005577458e-07
mapping_only_centered_fd,16.0,fixed_seed_random,0.001,-528.8587586025683,-528.8587528120843,1.0949017892422478e-08
mapping_only_centered_fd,16.0,fixed_seed_random,0.0005,-528.8587586025683,-528.858757155831,2.7355835396564974e-09
mapping_only_centered_fd,16.0,fixed_seed_random,0.00025,-528.8587586025683,-528.8587582326727,6.994222595738089e-10
mapping_only_centered_fd,32.0,uniform,0.001,933154.373704598,933140.3217379047,1.5058565966510778e-05
mapping_only_centered_fd,32.0,uniform,0.0005,933154.373704598,933150.8616116334,3.7636784047470895e-06
mapping_only_centered_fd,32.0,uniform,0.00025,933154.373704598,933153.4957374679,9.408594707373583e-07
mapping_only_centered_fd,32.0,smooth_asymmetric,0.001,18289.434957656547,18291.526248351147,0.00011433112066239459
mapping_only_centered_fd,32.0,smooth_asymmetric,0.0005,18289.434957656547,18289.957784261787,2.8585446254548178e-05
mapping_only_centered_fd,32.0,smooth_asymmetric,0.00025,18289.434957656547,18289.565664570546,7.146529141019212e-06
mapping_only_centered_fd,32.0,central_localized,0.001,2832.7121976463573,2832.973799217143,9.234168380171136e-05
mapping_only_centered_fd,32.0,central_localized,0.0005,2832.7121976463573,2832.7775970738003,2.308667913449411e-05
mapping_only_centered_fd,32.0,central_localized,0.00025,2832.7121976463573,2832.728547440638,5.771747630243464e-06
mapping_only_centered_fd,32.0,design_edge_localized,0.001,849.7663920564007,849.8847630253294,0.0001392788458841942
mapping_only_centered_fd,32.0,design_edge_localized,0.0005,849.7663920564007,849.7959848227765,3.48233774980366e-05
mapping_only_centered_fd,32.0,design_edge_localized,0.00025,849.7663920564007,849.7737902507652,8.70607501586751e-06
mapping_only_centered_fd,32.0,fixed_seed_random,0.001,-627.8502949333852,-627.8503579851531,1.004248339375729e-07
mapping_only_centered_fd,32.0,fixed_seed_random,0.0005,-627.8502949333852,-627.8503106732387,2.5069436591023186e-08
mapping_only_centered_fd,32.0,fixed_seed_random,0.00025,-627.8502949333852,-627.8502988716355,6.272594452768792e-09
