run,contact_axis,interface_scenario,polarization,id,kind,target_waist_um,beam_x_um,beam_y_um,terminal_current_nA,Tmax_flake_K,Au_absorbed_W,TaIrTe4_absorbed_W,SiO2_absorbed_W,Si_absorbed_W,optical_closure,Maxwell_wall_s,passed
56,y,evaporated,Eb,waist_8.5,waist,8.5,0.0,0.0,913.4366393096582,3.1477364464061472,6.035820124994609e-08,4.128065528056342e-05,1.2482831851822563e-05,1.0068308831950606e-06,0.0001183576366747039,220.88377129286528,True
56,y,evaporated,Eb,waist_10.625,waist,10.625,0.0,0.0,624.9544689973915,2.2823455707770774,1.444581052943429e-07,3.6913776786704205e-05,1.2462730277068506e-05,1.0090385262356668e-06,3.556169329640115e-05,118.61584442853928,True
56,y,evaporated,Eb,waist_12.75,waist,12.75,0.0,0.0,441.24528161694866,1.7448779857214276,2.2333360739810637e-07,3.266267935407888e-05,1.2249286990536024e-05,9.93077390514919e-07,1.6317201504904247e-05,124.39757792279124,True
56,y,evaporated,Eb,position_x-10_y-5,position,8.5,-10.0,-5.0,-66.59674953191131,1.3852156548338368,2.1095192103775623e-07,1.419761757193651e-05,1.227648418872667e-05,9.978664571515947e-07,0.00522223938304669,121.18562700971961,True
56,y,evaporated,Eb,position_x-10_y0,position,8.5,-10.0,0.0,-226.6982810124201,2.6863823198490184,4.3163763163701315e-08,2.5787214845970146e-05,1.1579735727281466e-05,9.38049930275454e-07,0.003978399333878411,116.30422903969884,True
56,y,evaporated,Eb,position_x-10_y5,position,8.5,-10.0,5.0,-209.04987324392303,3.055941110524196,1.9525153774011594e-07,2.704395835352902e-05,1.0636732166703323e-05,8.433402272555821e-07,0.00429186115345424,126.35661185905337,True
56,y,evaporated,Eb,position_x-10_y10,position,8.5,-10.0,10.0,-59.83626714711983,2.1335402032713966,4.929305558243794e-07,1.5733531348337566e-05,8.528941612111025e-06,6.561527651293371e-07,0.005927033786692914,128.5554947182536,True
56,y,evaporated,Eb,position_x-5_y-10,position,8.5,-5.0,-10.0,186.78087068345843,1.5774427733038787,6.93301728948724e-07,1.4302646266909675e-05,9.655215386186264e-06,7.791917689056157e-07,0.0007112607105828427,129.34487883374095,True
56,y,evaporated,Eb,position_x-5_y-5,position,8.5,-5.0,-5.0,389.7186549072967,2.6576611706553077,2.7774816698031763e-07,3.082147893735863e-05,1.236262372570358e-05,9.991029838628678e-07,0.0004611746594546089,125.40523507073522,True
56,y,evaporated,Eb,position_x-5_y0,position,8.5,-5.0,0.0,368.6927045453959,3.1405649833985736,5.833843637544281e-08,3.888213634696135e-05,1.2556596749853647e-05,1.0129907384429903e-06,0.00038322863992623364,120.46075266227126,True
