absolute_error,analytic,direction,family,finite_difference,minimum_Q_minus_W_m3,minimum_Q_plus_W_m3,relative_error,space,step
3.942137854917623e-34,-3.0407803127216105e-21,2,unrestricted,-3.0407803127220047e-21,-17620.194160220573,-16296.57963922312,1.2964231050908326e-13,source_Q,0.01
1.1213275711363965e-33,-3.0407803127216105e-21,2,unrestricted,-3.0407803127227318e-21,-5286.0582480661715,-4888.9738917669365,3.6876309888127594e-13,source_Q,0.003
5.1338070080072256e-33,-3.0407803127216105e-21,2,unrestricted,-3.0407803127267443e-21,-1762.0194160220572,-1629.657963922312,1.6883189444923363e-12,source_Q,0.001
8.407511755273263e-33,-3.0407803127216105e-21,2,unrestricted,-3.040780312713203e-21,-528.6058248066171,-488.89738917669354,2.764919162393626e-12,source_Q,0.0003
3.0977379449253447e-32,-3.0407803127216105e-21,2,unrestricted,-3.040780312690633e-21,-176.20194160220572,-162.9657963922312,1.0187312552522926e-11,source_Q,0.0001
7.434691438442351e-32,-3.0407803127216105e-21,2,unrestricted,-3.0407803127959574e-21,-52.86058248066172,-48.88973891766936,2.4449945980438253e-11,source_Q,3e-05
3.0004145358411045e-31,-3.0407803127216105e-21,2,unrestricted,-3.040780313021652e-21,-17.620194160220574,-16.296579639223122,9.867251913228887e-11,source_Q,1e-05
4.322057629103387e-34,-1.89243564075753e-21,3,unrestricted,-1.8924356407570977e-21,-16822.323177683247,-16491.328037423522,2.283859770984494e-13,source_Q,0.01
1.5606803396997347e-33,-1.89243564075753e-21,3,unrestricted,-1.8924356407559692e-21,-5046.696953304974,-4947.398411227056,8.246940112980563e-13,source_Q,0.003
7.467116274615433e-33,-1.89243564075753e-21,3,unrestricted,-1.892435640764997e-21,-1682.2323177683247,-1649.1328037423523,3.945770262298799e-12,source_Q,0.001
5.4610646352761504e-33,-1.89243564075753e-21,3,unrestricted,-1.892435640762991e-21,-504.66969533049735,-494.7398411227056,2.8857333468366307e-12,source_Q,0.0003
6.313852872955897e-32,-1.89243564075753e-21,3,unrestricted,-1.8924356408206684e-21,-168.22323177683248,-164.91328037423523,3.3363633282812733e-11,source_Q,0.0001
8.732474817569383e-32,-1.89243564075753e-21,3,unrestricted,-1.892435640670205e-21,-50.46696953304974,-49.473984112270564,4.614410461046818e-11,source_Q,3e-05
1.6255638662832023e-31,-1.89243564075753e-21,3,unrestricted,-1.8924356405949735e-21,-16.82232317768325,-16.49132803742352,8.589797355710863e-11,source_Q,1e-05
0.0,4.957726454205926e-22,4,unrestricted,4.957726454205926e-22,-16069.62232588437,-16868.5112281527,0.0,source_Q,0.01
3.009265538105056e-34,4.957726454205926e-22,4,unrestricted,4.957726454202916e-22,-4820.886697765311,-5060.55336844581,6.069849891681946e-13,source_Q,0.003
4.9652881378733424e-33,4.957726454205926e-22,4,unrestricted,4.9577264542555785e-22,-1606.962232588437,-1686.85112281527,1.0015252321275212e-11,source_Q,0.001
1.4494691701571397e-32,4.957726454205926e-22,4,unrestricted,4.9577264543508725e-22,-482.08866977653105,-506.05533684458095,2.923657010014079e-11,source_Q,0.0003
