case,projection,method,region,cell_count,raw_max_abs_K_m,p99_abs_K_m,rms_abs_K_m,mean_abs_K_m,median_abs_K_m,raw_max_over_p99
analytic_a,surface,mask_aware_finite_difference,inside_n_0p1um,847,5537.517876022888,5524.669203768229,3712.0214925770406,3397.0267892908128,3438.878553127082,1.0023256907845082
analytic_a,surface,mask_aware_finite_difference,inside_n_0p2um,1130,5543.082942523564,5534.609505545823,3566.7314944700342,3162.3133621556444,2900.512861220969,1.0015309909342747
analytic_a,surface,mask_aware_finite_difference,inside_n_0p3um,1130,5461.397273528406,5440.898246566878,3386.4573844155348,2920.6072172364543,3061.913278274224,1.0037675813868534
analytic_a,surface,mask_aware_finite_difference,inside_band_0p1_to_0p3um,1695,5543.082942523564,5528.9483642273835,3567.622638846812,3167.6529463649067,3179.878729493636,1.002556467770188
analytic_a,surface,least_squares_radius_0.2um,original_staircase_edge,282,5475.894574052575,5472.487393494509,3771.2507317854243,3485.0535656476613,3625.2191362087115,1.000622601810306
analytic_a,surface,least_squares_radius_0.2um,inside_n_0p1um,847,5492.621091333905,5488.601569773249,3641.277076397638,3310.12060110155,3152.0948457584036,1.000732339833664
analytic_a,surface,least_squares_radius_0.2um,inside_n_0p2um,1130,5481.06753482068,5463.190600432511,3528.007580454281,3141.4959699844353,2889.633711882759,1.003272251637487
analytic_a,surface,least_squares_radius_0.2um,inside_n_0p3um,1130,5378.756833437462,5358.812636751567,3341.758713773227,2894.694170878001,2982.025201683549,1.003721756672199
analytic_a,surface,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,1695,5491.98908467662,5472.544656293629,3523.2776759970807,3135.320973825329,2996.278919386339,1.0035530872024279
analytic_a,surface,least_squares_radius_0.3um,original_staircase_edge,282,5503.172304866173,5502.272383652003,3665.73025110857,3340.2350176190753,3149.050685642523,1.000163554464669
analytic_a,surface,least_squares_radius_0.3um,inside_n_0p1um,847,5478.901160870269,5465.736149039129,3556.266141088683,3191.085051465228,2817.5367698722443,1.0024086438628135
analytic_a,surface,least_squares_radius_0.3um,inside_n_0p2um,1130,5422.807290179315,5399.982492466575,3450.385859410838,3056.1366332157486,2776.1036199828777,1.0042268280951987
analytic_a,surface,least_squares_radius_0.3um,inside_n_0p3um,1130,5265.0504307715455,5245.8729858160295,3280.240824969045,2857.37141851974,2882.6901763823284,1.0036557204124783
analytic_a,surface,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,1695,5454.666764621686,5420.140864819246,3447.7517563941096,3054.0772751414083,2779.045910298668,1.006369926661231
analytic_a,surface,least_squares_radius_0.4um,original_staircase_edge,282,5479.071476292504,5476.09677591932,3584.4785768934016,3224.6557763261826,2737.2874093603978,1.0005432154497824
analytic_a,surface,least_squares_radius_0.4um,inside_n_0p1um,847,5415.554002505211,5404.015874570718,3470.7006841011885,3081.9349593178786,2841.019941436732,1.002135102524178
analytic_a,surface,least_squares_radius_0.4um,inside_n_0p2um,1130,5320.34289067279,5298.597682809965,3356.9689610550054,2953.582234070355,2875.831496533937,1.004103955266008
analytic_a,surface,least_squares_radius_0.4um,inside_n_0p3um,1130,5117.803227189018,5099.164388698478,3191.0573610525503,2781.1123270655216,2821.521343207434,1.0036552731133457
analytic_a,surface,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,1695,5370.58732228224,5325.539740766314,3354.633521580235,2951.8557393115034,2874.12505312619,1.0084587823410822
analytic_a,midplane,mask_aware_finite_difference,original_staircase_edge,282,5371.829038408453,5369.621494704048,3831.141299118931,3569.1779369053643,3894.879786287369,1.0004111171907708
analytic_a,midplane,mask_aware_finite_difference,inside_n_0p1um,847,6234.65353720198,6221.321794670604,3920.042560653919,3468.9705486665575,3254.808978632311,1.0021429115823581
analytic_a,midplane,mask_aware_finite_difference,inside_n_0p2um,1130,6284.37248312551,6261.138901026963,3992.303254623484,3420.5734175995667,3658.235655324367,1.0037107597301087
analytic_a,midplane,mask_aware_finite_difference,inside_n_0p3um,1130,6142.523888337434,6120.705187519954,3781.4700048760037,3195.406735938893,3536.9813794704773,1.0035647364395148
analytic_a,midplane,mask_aware_finite_difference,inside_band_0p1_to_0p3um,1695,6284.37248312551,6247.854225320916,3958.017741056969,3401.5847275769097,3607.9555939008687,1.0058449279524793
analytic_a,midplane,least_squares_radius_0.2um,original_staircase_edge,282,5884.121950676108,5881.753417075387,3849.839282652464,3464.6027077621584,2957.9109849945553,1.0004026917541027
analytic_a,midplane,least_squares_radius_0.2um,inside_n_0p1um,847,6077.3625215290685,6054.521102202774,3883.208264846866,3409.845403586093,3424.1800028862804,1.0037726219697185
analytic_a,midplane,least_squares_radius_0.2um,inside_n_0p2um,1130,6077.3625215290685,6069.488845850366,3876.9826566037686,3339.2286384030895,3523.099877028256,1.001297255152563
analytic_a,midplane,least_squares_radius_0.2um,inside_n_0p3um,1130,6003.143630792103,5982.62456130762,3712.7868486725592,3144.649918835058,3462.9894534090517,1.003429777228073
analytic_a,midplane,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,1695,6077.3625215290685,6065.997684688216,3862.4386041453363,3328.486154089382,3504.69866701755,1.0018735313515763
analytic_a,midplane,least_squares_radius_0.3um,original_staircase_edge,282,6053.941356637418,6051.761296649481,3898.0471520610063,3435.0473728976594,3412.1478060748077,1.0003602356208505
analytic_a,midplane,least_squares_radius_0.3um,inside_n_0p1um,847,6060.87105158622,6048.116542895912,3867.2238179930273,3354.4295819672475,3468.237189711922,1.002108839768521
analytic_a,midplane,least_squares_radius_0.3um,inside_n_0p2um,1130,6007.412274133898,5985.141178800863,3785.846718760234,3250.528371302156,3462.521222729256,1.0037210643270904
analytic_a,midplane,least_squares_radius_0.3um,inside_n_0p3um,1130,5804.9161135028,5785.544919009891,3607.057332106519,3066.474692434813,3345.6133951270776,1.0033482057030203
analytic_a,midplane,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,1695,6041.813244937167,6005.767727753398,3778.806494391154,3245.6685342377928,3450.5426635580066,1.0060018167231475
