center_um,current_A,objective_A2,node_signature,node_count
1.1749999999999812,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.1999999999999815,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.2249999999999819,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.2499999999999813,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.2749999999999808,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.2999999999999812,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.3249999999999815,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.349999999999981,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.3749999999999805,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.3999999999999808,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.4249999999999812,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.4499999999999806,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.47499999999998,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.4999999999999805,3.162007008481787e-11,9.99828832168794e-22,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616:1665,13
