length_um,current_A,objective_A2,node_signature,node_count
4.89999999999999,1.0267871660588074e-10,1.054291884383077e-20,1028:1077:1126:1175:1224:1273:1322:1371:1420,9
4.92499999999999,1.0267871660588074e-10,1.054291884383077e-20,1028:1077:1126:1175:1224:1273:1322:1371:1420,9
4.9499999999999895,1.0267871660588074e-10,1.054291884383077e-20,1028:1077:1126:1175:1224:1273:1322:1371:1420,9
4.974999999999989,1.0267871660588074e-10,1.054291884383077e-20,1028:1077:1126:1175:1224:1273:1322:1371:1420,9
4.999999999999989,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.02499999999999,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.049999999999989,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.074999999999989,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.099999999999989,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.124999999999989,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.149999999999989,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.174999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.199999999999989,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.224999999999989,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.2499999999999885,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.274999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.299999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.324999999999989,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.349999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.374999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.399999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.424999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.449999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.474999999999987,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.499999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.524999999999988,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.549999999999987,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
5.574999999999987,8.609537929273315e-11,7.412414335559583e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,11
